TransactionID,ProductID,QuantitySold,SalesDate
1110,P011,2,07-23-2022
1111,P002,4,02-02-2023
1112,P018,1,07-30-2022
1113,P008,1,07-04-2022
1114,P007,3,29-12-2022
1115,,3,01-01-2022
1116,P002,4,28-06-2023
1117,P017,7,2022/02/01
1118,P016,9,2023/09/08
1119,P017,2,27-09-2023
1120,P012,1,11-09-2023
1121,P002,3,01-30-2023
1122,P009,6,2023/05/06
1123,P001,1,09-23-2022
1124,P020,8,06-02-2022
1125,P017,5,12-25-2023
1126,P017,10,2023/11/18
1127,P014,1,08-17-2022
1128,P013,6,11-15-2023
1129,P014,6,2022/10/29
1130,P008,4,03-05-2023
1131,P006,5,07-01-2023
1132,P003,4,2023/10/01
1133,P003,2,2022/06/25
1134,P007,7,10-27-2022
1135,P015,3,2022/11/24
1136,P003,9,23-04-2023
1137,P005,10,15-05-2023
1138,P008,4,02-12-2023
1139,P016,9,10-17-2022
1140,P013,1,03-08-2023
1141,P008,5,2022/01/12
1142,P006,3,13-09-2023
1143,P003,9,02-06-2022
1144,P018,4,31-07-2023
1145,P020,1,2022/03/19
1146,P020,8,05-06-2022
1147,P014,2,05-04-2023
1148,P004,4,2022/12/21
1149,,5,11-27-2023
1150,P009,3,2022/01/20
1151,P008,6,08-01-2023
1152,P012,8,2022/10/04
1153,P015,3,2022/08/12
1154,P001,9,17-08-2022
1155,P008,9,04-12-2023
1156,P016,8,2022/08/25
1157,P010,8,2023/11/06
1158,P005,3,2023/06/11
1159,P012,8,2022/03/31
1160,P006,6,08-17-2023
1161,P004,5,08-03-2023
1162,P013,8,06-02-2023
1163,P010,8,15-07-2023
1164,P003,5,2023/11/11
1165,P015,9,2022/06/02
1166,P019,1,11-30-2022
1167,P017,9,2022/05/05
1168,P007,3,08-09-2023
1169,P018,9,11-17-2022
1170,P012,10,03-09-2023
1171,P012,5,2023/06/16
1172,P005,2,12-24-2023
1173,,5,15-11-2022
1174,P019,6,05-01-2023
1175,P019,1,2023/07/15
1176,,3,22-03-2022
1177,P009,3,11-06-2023
1178,P007,2,06-09-2022
1179,P014,2,08-22-2023
1180,P001,2,04-03-2023
1181,P002,6,08-06-2023
1182,,5,11-27-2022
1183,P002,6,2023/02/06
1184,P004,8,08-02-2023
1185,P020,7,05-26-2023
1186,,10,25-09-2022
1187,P007,5,2022/02/04
1188,P008,9,06-26-2022
1189,P020,9,2023/10/25
1190,P003,6,19-06-2023
1191,,9,2023/05/12
1192,P016,8,07-02-2023
1193,P020,6,03-28-2023
1194,P006,7,14-05-2022
1195,P012,10,18-06-2023
1196,P018,10,10-01-2023
1197,P014,1,05-22-2023
1198,P003,2,2023/04/23
1199,P008,3,09-30-2022
1200,P020,10,07-18-2023
